net,length_um
net1071,3021.22
net1833,3020.235
net1454,3020.135
net1408,3020.07
_02254_,3019.88
net2009,3019.86
_04436_,3019.72
_01453_,3019.67
net1864,3018.44
_04194_,3018.3
decoder.rf.ram\[30\]\[7\],3018.1
decoder.rf.ram\[3\]\[20\],3017.98
net907,3016.94
decoder.rf.ram\[19\]\[19\],3016.9
net1186,3016.55
net1808,3016.155
net111,3015.63
net1406,3015.15
net904,3013.68
decoder.rf.ram\[6\]\[1\],3013.62
net1956,3013.195
net1588,3012.82
net1735,3012.66
net1788,3012.34
net1553,3012.15
_00242_,3011.84
net121,3011.28
net1868,3010.99
_02690_,3010.97
net1447,3010.44
decoder.rf.ram\[28\]\[13\],3010.37
decoder.rf.ram\[24\]\[18\],3010.26
net23,3009.98
net1977,3008.93
net1916,3008.64
net1566,3008.38
net1492,3008.13
net1523,3007.76
net1622,3007.44
net1331,3007.26
decoder.rf.ram\[26\]\[19\],3007.04
net176,3006.64
net893,3006.48
net1039,3005.8
net673,3005.44
decoder.rf.ram\[4\]\[28\],3003.26
net1903,3002.97
net688,3002.81
net834,3002.78
_04280_,3001.98
net1270,3001.38
net1462,3001.13
_00195_,3000.8
net110,3000.66
net71,3000.45
net1744,3000.12
net1918,2999.215
net1234,2998.61
net1504,2997.16
decoder.rf.ram\[2\]\[18\],2995.42
net1014,2994.06
net122,2993.72
net1556,2992.76
net671,2992.58
net1754,2992.2
net1837,2992.01
net194,2991.18
net1865,2991.15
net151,2991.095
net1625,2990.79
_01764_,2990.54
decoder.rf.ram\[11\]\[18\],2990.435
net1506,2990.1
net912,2989.74
decoder.rf.ram\[23\]\[31\],2989.57
net1899,2989.2
net1948,2989.18
net1750,2989.05
_00327_,2988.62
net712,2988.33
net2016,2988.02
decoder.rf.ram\[27\]\[31\],2987.43
_03649_,2987.26
net1395,2986.18
net910,2986.06
_03474_,2985.89
net1736,2985.56
net1530,2985.42
net1083,2985.18
net1413,2984.89
_00567_,2984.82
net1363,2984.38
decoder.rf.ram\[23\]\[13\],2984.005
net1628,2982.425
net1994,2981.78
net672,2981.56
net900,2981.32
_04450_,2980.48
net125,2980.48
decoder.rf.ram\[12\]\[5\],2980.16
_02908_,2980.11
decoder.rf.ram\[11\]\[27\],2979.82
net1756,2979.31
net139,2979.06
net1578,2978.89
net849,2978.76
decoder.rf.ram\[12\]\[9\],2978.73
net1037,2978.66
_03443_,2978.36
net1892,2978.115
net1626,2978.11
net1332,2977.68
net1485,2977.22
net1755,2976.98
net1335,2976.94
_03335_,2976.48
net1424,2975.87
net1063,2975.84
net1838,2974.93
net1309,2974.76
net212,2973.34
net1943,2973.255
_01481_,2972.35
net710,2972.28
net1411,2972.1
net347,2972.07
_03823_,2971.58
net2017,2971.38
net926,2970.97
decoder.rf.ram\[15\]\[18\],2970.845
