net,length_um
net1066,2980.91
_0775_,2980.58
_3138_,2980.28
net417,2979.19
net211,2978.87
net140,2978.685
net601,2978.27
_0159_,2977.885
net981,2974.92
net869,2973.19
ram\[19\]\[25\],2972.02
net736,2971.6
_0652_,2971.06
net131,2970.18
_2637_,2969.83
net189,2969.8
net378,2969.72
net209,2969.64
net774,2969.4
net935,2969.29
ram\[5\]\[11\],2968.87
net565,2968.5
net988,2968.15
_1277_,2966.54
net659,2966.35
net271,2966.095
net1038,2965.93
net184,2964.97
net845,2964.92
net850,2964.88
ram\[30\]\[16\],2964.875
net269,2964.77
net150,2964.66
net974,2964.54
net152,2964.52
ram\[24\]\[15\],2964.5
ram\[17\]\[15\],2963.76
ram\[7\]\[4\],2962.3
net1033,2961.44
ram\[8\]\[12\],2960.4
ram\[2\]\[26\],2960
net155,2959.78
net704,2959.68
_0095_,2958
_3482_,2957.2
net429,2956.83
net877,2955.7
net644,2954.63
ram\[22\]\[22\],2954.53
net669,2954.28
_3874_,2954.02
net153,2953.46
ram\[13\]\[6\],2953.35
net1100,2953.095
net733,2952.815
net991,2952.74
_3292_,2952.56
net212,2952.48
_0453_,2952.43
_2394_,2952.06
net206,2951.9
net1124,2951.85
_1503_,2951.84
net929,2951.84
net204,2951.18
ram\[26\]\[29\],2949.95
net244,2949.74
ram\[16\]\[28\],2949.52
net549,2949.33
net387,2946.46
_0906_,2946.24
net178,2945.78
ram\[30\]\[6\],2945.19
_0396_,2944.84
net771,2944.835
ram\[23\]\[10\],2944.61
net721,2944.13
_0062_,2943.84
net625,2942.48
net125,2942.47
_0368_,2941.41
net641,2941.41
ram\[27\]\[18\],2941.34
_1119_,2940.93
net859,2938.8
net541,2938.675
net267,2937.69
net613,2936.81
net1264,2935.65
net256,2935.48
net188,2935.44
net122,2934.06
net873,2934.05
_3595_,2933.75
net1106,2933.27
_0740_,2931.86
_0510_,2931.66
net311,2931.45
_3491_,2931.11
net649,2930.96
net1167,2930.67
ram\[24\]\[16\],2930.29
net220,2930.19
net452,2929.85
net863,2929.76
net650,2929.54
_1006_,2928.31
ram\[7\]\[22\],2927.62
_2391_,2927.6
net1189,2927.42
net1241,2927.085
net483,2926.15
net1173,2925.84
net824,2925.74
net116,2925.66
_1835_,2925.39
net751,2925.03
net82,2923.82
net215,2923.69
ram\[14\]\[28\],2923.36
_1048_,2923.19
net889,2923
_0594_,2922.695
_1452_,2922.34
net1268,2921.98
_1169_,2921.88
_3513_,2921.81
net1022,2921.54
net317,2921.04
net1195,2920.56
ram\[30\]\[0\],2920.38
_1506_,2920.245
net16,2920.2
ram\[28\]\[6\],2920.01
net399,2920
ram\[25\]\[29\],2919.71
net412,2919.36
_3673_,2919.09
net1221,2918.89
net722,2918.77
net133,2918.43
net132,2918.29
ram\[8\]\[18\],2918.14
net1224,2917.91
net1237,2917.89
net430,2917.42
net428,2916.57
net1144,2916.41
_1641_,2916.34
net243,2916.06
net611,2915.18
net262,2915.12
_0065_,2914.435
ram\[6\]\[8\],2913.96
net1212,2913.65
ram\[12\]\[4\],2913.195
net623,2913.17
net435,2912.61
net462,2912.06
_0499_,2911.925
net115,2911.88
ram\[9\]\[19\],2911.35
ram\[0\]\[22\],2910.03
ram\[22\]\[19\],2909.43
net1013,2908.62
net786,2908.34
net130,2906.89
net1266,2906.85
net829,2906.67
ram\[17\]\[9\],2906.35
net264,2906.185
net509,2905.88
net894,2905.55
net793,2905.19
net1094,2904.83
_2590_,2904.815
ram\[15\]\[29\],2904.78
net580,2904.47
net312,2904.18
net330,2903.91
net353,2903.86
net1267,2903.715
_0120_,2903.46
net883,2902.86
ram\[2\]\[24\],2902.755
ram\[27\]\[17\],2902.74
ram\[3\]\[10\],2902.67
_0670_,2901
net358,2900.68
ram\[31\]\[7\],2900.39
ram\[14\]\[13\],2900.13
net1019,2899.82
net1186,2899.64
net1184,2898.97
ram\[5\]\[21\],2898.25
net1158,2897.19
ram\[17\]\[31\],2897.05
net1273,2896.4
net186,2895.86
net242,2895.4
ram\[21\]\[16\],2895.14
_2648_,2894.7
net124,2894.12
net1263,2893.81
net614,2893.35
net363,2892.42
net384,2892.41
net691,2892.38
net69,2892.08
_0580_,2890.9
net570,2890.71
ram\[26\]\[4\],2890.37
net482,2890.3
ram\[27\]\[21\],2888.925
ram\[15\]\[26\],2887.925
_0131_,2887.91
net302,2887.88
net546,2887.25
ram\[9\]\[18\],2887.05
net487,2886.75
ram\[10\]\[30\],2886.68
_3111_,2886.2
net245,2884.69
ram\[1\]\[25\],2884.59
_2513_,2884.33
net1196,2884.18
_0399_,2883.87
ram\[0\]\[16\],2883.75
ram\[21\]\[22\],2883.24
ram\[22\]\[3\],2883.04
net442,2882.98
net830,2881.69
_0685_,2881.675
_0520_,2881.615
net1120,2880.79
ram\[17\]\[13\],2880.18
net726,2880.04
net303,2879.85
_2044_,2879.22
net443,2878.6
ram\[23\]\[1\],2878.365
net366,2877
_1633_,2876.06
net1204,2875.8
net253,2875.075
ram\[13\]\[0\],2874.72
_0125_,2874.51
net389,2874.31
net1134,2873.555
_2658_,2873.43
net342,2872.98
net385,2872.93
net923,2871.475
net320,2871.35
net1261,2871.32
_3659_,2870.2
_0634_,2870.18
net1165,2870.09
ram\[29\]\[29\],2869.04
_1727_,2868.68
ram\[24\]\[30\],2868.555
ram\[21\]\[10\],2868.36
_2976_,2867.74
_0041_,2866.72
net383,2865.55
net375,2865.38
net272,2864.895
_1364_,2864.44
ram\[19\]\[22\],2863.07
ram\[9\]\[3\],2861.22
net1086,2860.81
_2429_,2858.64
net1225,2858.105
_0781_,2856.34
net1229,2856.32
net427,2856.11
_2540_,2855.42
_1842_,2855.28
net448,2855.18
_3640_,2854.12
net259,2853.81
ram\[26\]\[26\],2852.14
net461,2851.7
_0213_,2851.605
_1066_,2850.62
_0224_,2850.19
net939,2848.7
net1223,2848.11
_1711_,2847.89
ram\[23\]\[6\],2847.86
net367,2847.71
net492,2847.61
ram\[20\]\[1\],2847.36
net768,2846.98
ram\[15\]\[25\],2846.45
net288,2846.06
ram\[28\]\[19\],2845.75
_0696_,2845.66
_1131_,2844.67
_1494_,2844.5
ram\[23\]\[30\],2844.05
_1465_,2842.9
net465,2841.8
_0033_,2841.76
net1176,2841.58
net436,2841.035
ram\[4\]\[21\],2840.205
ram\[21\]\[15\],2840.07
_2226_,2839.88
net336,2839.59
net270,2839.48
ram\[23\]\[15\],2839.43
ram\[14\]\[29\],2839.34
ram\[21\]\[3\],2838.98
ram\[12\]\[9\],2838.25
net1008,2837.8
ram\[19\]\[1\],2837.72
net1170,2837.1
ram\[12\]\[20\],2835.46
_3379_,2835.2
ram\[25\]\[19\],2834.96
net1081,2834.94
net532,2834.92
net1231,2833.54
_3396_,2833.42
_1801_,2832.96
net257,2832.68
net339,2831.05
_3094_,2830.63
_3152_,2830.1
ram\[4\]\[8\],2830.02
net867,2829.83
ram\[4\]\[20\],2829.32
net1210,2829.19
ram\[1\]\[28\],2829.01
net468,2828.66
net683,2828.4
_1950_,2826.49
_2344_,2826.335
ram\[23\]\[19\],2825.85
_3425_,2825.26
_0049_,2825.17
net1227,2824.44
net454,2824.02
ram\[19\]\[17\],2823.26
_1978_,2823.16
_3687_,2823.03
net64,2822.4
_3166_,2821.83
net386,2821.71
net635,2821.63
net33,2821.37
ram\[14\]\[24\],2821.295
ram\[9\]\[10\],2820.87
net441,2820.86
_1298_,2820.32
net645,2820.11
_3136_,2820.06
net445,2819.89
net545,2819.26
net566,2818.22
_3110_,2817.48
ram\[16\]\[16\],2817.31
_0424_,2816.465
_2729_,2816.02
net338,2815.47
net593,2815.31
ram\[5\]\[3\],2813.7
net531,2813.29
net1191,2813.23
ram\[20\]\[7\],2812.755
net1233,2811.37
_2936_,2810.99
net360,2809.96
ram\[13\]\[22\],2809.26
_2828_,2809.16
_2560_,2808.84
ram\[7\]\[3\],2807.515
ram\[30\]\[2\],2807.465
_0881_,2807.19
_3600_,2806.92
net239,2806.87
net460,2806.46
ram\[25\]\[13\],2805.4
ram\[19\]\[8\],2805.16
net543,2804.76
_3833_,2804.36
net218,2804.29
net480,2804.27
net1039,2803.765
net1213,2803.64
net1161,2803.48
_2128_,2803.04
net344,2802.84
net328,2802.12
_2233_,2802.04
net1159,2801.14
net418,2800.56
net337,2800.18
_0816_,2800.12
_1406_,2800.06
net966,2799.51
ram\[21\]\[7\],2798.56
net745,2798.49
net559,2797.94
net455,2797.75
net709,2797.595
ram\[2\]\[9\],2795.13
ram\[7\]\[2\],2794.22
ram\[15\]\[15\],2792.83
_3778_,2792.06
_0890_,2791.56
net1030,2791.27
_0141_,2791.175
ram\[10\]\[24\],2790.505
_1522_,2790.48
net555,2789.78
net597,2789.57
net1235,2788.35
_0377_,2788.2
net350,2786.94
net1249,2786.77
net697,2786.3
net590,2785.57
ram\[6\]\[7\],2785.565
net434,2784.86
net345,2783.79
net493,2782.43
net426,2782.34
net129,2782.3
ram\[14\]\[4\],2781.98
net450,2781.92
_2790_,2780.48
ram\[15\]\[19\],2780.18
_1308_,2778.62
net647,2776.83
net388,2776.82
_3404_,2776.08
net913,2775.84
_0633_,2774.78
_3816_,2774.66
ram\[15\]\[14\],2773.75
_1549_,2771.56
ram\[13\]\[16\],2770.73
ram\[7\]\[15\],2770.4
net823,2770.04
ram\[28\]\[28\],2769.88
ram\[13\]\[25\],2769.64
net1270,2768.9
_0118_,2768.7
ram\[18\]\[27\],2768.4
_0264_,2768.17
net1116,2767.4
_1286_,2767.34
net298,2766.79
ram\[15\]\[20\],2765.375
ram\[3\]\[19\],2765.2
net431,2764.7
net513,2764.35
net1192,2764.32
_1043_,2762.81
net1164,2762.1
_3489_,2761.8
_0481_,2761.28
net439,2760.01
net756,2759.76
ram\[13\]\[1\],2758.21
net1248,2756.84
net485,2756.79
net424,2755.83
_2423_,2755.56
net247,2755.3
ram\[12\]\[6\],2755.16
net240,2754.89
net882,2754.8
ram\[2\]\[4\],2754.26
net903,2753.31
ram\[23\]\[9\],2753.23
_0947_,2753.12
_0587_,2752.56
net334,2752.37
net507,2751.9
ram\[11\]\[31\],2751.86
_0782_,2751.6
ram\[22\]\[28\],2751.35
